Predictor,Slope [95% CI],p-value
Intercept,,0.0
Gender (Male),,0.0272
Gender (Other),,0.1546
Education (College degree),,0.3917
Education (Some college or less),,0.3763
Employment (Working),,0.0763
Income (50k to 99k),,0.5132
Income (Less than 50k),,0.9731
Ideology (Liberal),,0.0007
Ideology (Moderate),,0.0939
Party (Other or independent),,0.4088
Party (Republican),,0.6426
Marital Status (Not married),,0.8177
Age,,0.0015
