education,gender,byear,employment,hhinc,pol_ideo,pol_pident,marr_status,soc_dist6,soc_dist7,age,mask_binary,iso_binary,gender_group,education_group,income_group,ideo_group,party_group,employment_group,marital_group
4-year degree,Male,1988.0,Employed full-time in an organization,"$50,000 - $59,999",Slightly liberal,"Independent, but lean Democrat","Single, never married",11.0,10.0,32.0,1,1,Male,College degree,50k to 99k,Liberal,Other or independent,Working,Not married
4-year degree,Male,1995.0,Employed full-time in an organization,"$70,000 - $79,999",Conservative,Democrat,Married or in a domestic partnership,7.0,7.0,25.0,1,1,Male,College degree,50k to 99k,Conservative,Democrat,Working,Married
Some college,Male,1993.0,Employed full-time in an organization,"$30,000 - $39,999",Extremely conservative,Republican,"Single, never married",8.0,9.0,27.0,1,1,Male,Some college or less,Less than 50k,Conservative,Republican,Working,Not married
High school graduate,Female,1958.0,Retired,"Less than $10,000",Moderate; middle of the road,Republican,"Single, never married",11.0,11.0,62.0,1,1,Female,Some college or less,Less than 50k,Moderate,Republican,Not working,Not married
4-year degree,Male,1986.0,Employed full-time in an organization,"$50,000 - $59,999",Conservative,Democrat,Married or in a domestic partnership,9.0,7.0,34.0,1,1,Male,College degree,50k to 99k,Conservative,Democrat,Working,Married
4-year degree,Female,1995.0,Employed part-time in an organization,"$90,000 - $99,999",Liberal,Democrat,"Single, never married",8.0,8.0,25.0,1,1,Female,College degree,50k to 99k,Liberal,Democrat,Working,Not married
4-year degree,Female,1985.0,Self-employed,"$60,000 - $69,999",Liberal,Democrat,"Single, never married",11.0,11.0,35.0,1,1,Female,College degree,50k to 99k,Liberal,Democrat,Working,Not married
High school graduate,Female,1999.0,Self-employed,"$10,000 - $19,999",Moderate; middle of the road,"Independent, but lean Democrat","Single, never married",2.0,6.0,21.0,1,0,Female,Some college or less,Less than 50k,Moderate,Other or independent,Working,Not married
4-year degree,Female,1974.0,Employed full-time in an organization,"$125,000 or more",Conservative,"Independent, but lean Republican",Married or in a domestic partnership,11.0,11.0,46.0,1,1,Female,College degree,100k+,Conservative,Other or independent,Working,Married
4-year degree,Female,1989.0,Employed full-time in an organization,"$125,000 or more",Moderate; middle of the road,Republican,Married or in a domestic partnership,9.0,9.0,31.0,1,1,Female,College degree,100k+,Moderate,Republican,Working,Married
4-year degree,Male,1988.0,Employed full-time in an organization,"$40,000 - $49,999",Conservative,Republican,Married or in a domestic partnership,9.0,11.0,32.0,1,1,Male,College degree,Less than 50k,Conservative,Republican,Working,Married
Doctorate,Female,1972.0,Employed full-time in an organization,"$125,000 or more",Extremely liberal,Democrat,Married or in a domestic partnership,11.0,11.0,48.0,1,1,Female,Advanced degree,100k+,Liberal,Democrat,Working,Married
Professional degree,Male,1990.0,Employed full-time in an organization,"$20,000 - $29,999",Extremely liberal,Republican,Married or in a domestic partnership,10.0,9.0,30.0,1,1,Male,Advanced degree,Less than 50k,Liberal,Republican,Working,Married
High school graduate,Male,1992.0,Employed full-time in an organization,"$60,000 - $69,999",Extremely conservative,Republican,Married or in a domestic partnership,11.0,11.0,28.0,1,1,Male,Some college or less,50k to 99k,Conservative,Republican,Working,Married
High school graduate,Male,1983.0,Employed full-time in an organization,"$20,000 - $29,999",Moderate; middle of the road,Independent with no party preference,Married or in a domestic partnership,11.0,11.0,37.0,1,1,Male,Some college or less,Less than 50k,Moderate,Other or independent,Working,Married
Doctorate,Male,1982.0,Employed full-time in an organization,"$70,000 - $79,999",Liberal,Democrat,Married or in a domestic partnership,11.0,10.0,38.0,1,1,Male,Advanced degree,50k to 99k,Liberal,Democrat,Working,Married
Some college,Male,1990.0,Employed full-time in an organization,"$40,000 - $49,999",Moderate; middle of the road,Independent with no party preference,Married or in a domestic partnership,9.0,11.0,30.0,1,1,Male,Some college or less,Less than 50k,Moderate,Other or independent,Working,Married
